,ID,QUESTION
0,12476874168,"The 4-point DFTs of two sequences 𝑥[𝑛] and 𝑦[𝑛] are 𝑋[𝑘] = [1,−𝑗, 1,𝑗] and 𝑌[𝑘] = [1, 3𝑗, 1,−3𝑗], respectively. Assuming 𝑧[𝑛] represents the 4-point circular convolution of 𝑥[𝑛] and 𝑦[𝑛], the value of 𝑧[0] is __________ (rounded off to nearest integer)."
1,12476874169,"Consider the figure shown. For zero deflection in the galvanometer, the required value of resistor Rx is ____ Ω"
2,12476874170,"Consider a unity negative feedback system with its open-loop pole-zero map as shown in the figure. If the point 𝑠 = 𝑗𝛼, 𝛼 > 0, lies on the root locus, the value of 𝛼 is ________"
3,12476874171,"A shielded cable with Cstray = 20 pF and Rwire = 10 Ω is used to connect the inductive
sensors as shown in the figure. The RMS value of Vout is ____V"
4,12476874172,"An ADC has a full scale voltage of 1.4 V, resolution of 200 mV, and produces binary output data. The input signal of the ADC has a bandwidth of 500 MHz, and it samples the data at the Nyquist rate. The parallel data output is converted to a serial bit stream using a parallel-to-serial converter. The data rate at the output of the parallel-to-serial converter is _____ Gbps"
5,12476874173,"In the circuit shown, assume the opamp is ideal and the initial charge on the capacitor is zero. The output voltage at time t = 2 ms is _____ V"
6,12476874174,"In the figure shown, SW is a switch whose position changes from 1 to 0 when VC changes from logic HIGH to LOW and vice versa. The bandwidth of the permanent magnet moving coil (PMMC) type voltmeter is 1 Hz. If Vsense = 2 sin(4000πt) V and Vref = 4 sin(2000πt) V, the voltmeter reading is ______V"
7,12476874175,A 50 kVA transformer has an efficiency of 95% at full load and unity power factor. Assume the core losses are negligible. The efficiency of the transformer at 75% of the full load and 0.8 power factor is ________%
8,12476874176,"Two magnetically coupled coils, when connected in series-aiding configuration, have a total inductance of 500 mH. When connected in series-opposing configuration, the coils have a total inductance of 300 mH. If the self-inductance of both the coils are equal, then the coupling coefficient is ________"
9,12476874177,"4 The solution of an ordinary differential equation 𝑦 ′′′ + 3𝑦 ′′ + 3𝑦 ′ + 𝑦 = 30𝑒 −𝑡 is 𝑦(𝑡) = (𝑐0 + 𝑐1 𝑡 − 𝑐2 𝑡 2 + 𝑐3 𝑡 3 )𝑒 −𝑡 Given 𝑦(0) = 3, 𝑦 ′ (0) = −3 and 𝑦 ′′(0) = −47, the value of (𝑐0 + 𝑐1 + 𝑐2 + 𝑐3 ) is __________(rounded off to nearest integer)."
10,12476874178,"A random variable 𝑋 has a probability density function 𝑓𝑋 (𝑥) = { 𝑒 −𝑥 , 𝑥 ≥ 0 0 , otherwise The probability of 𝑋 > 2 is ___________"
11,12476874179,"The return period of a large earthquake for a given region is 200 years. Assuming
that earthquake occurrence follows Poisson’s distribution, the probability that it
will be exceeded at least once in 50 years is ________________ % "
12,12476874180,"A 2 m × 2 m tank of 3 m height has inflow, outflow and stirring mechanisms. Initially, the tank was half-filled with fresh water. At t = 0, an inflow of a salt solution of concentration 5 g/m3 at the rate of 2 litre/s and an outflow of the well stirred mixture at the rate of 1 litre/s are initiated. This process can be modelled using the following differential equation: 𝑑𝑚 𝑑𝑡 + 𝑚 6000 + 𝑡 = 0.01 where m is the mass (grams) of the salt at time t (seconds). The mass of the salt (in grams) in the tank at 75% of its capacity is _____________"
13,12476874181,"The initial cost of an equipment is Rs. 1,00,000. Its salvage value at the end of accounting life of 5 years is Rs. 10,000. The difference in depreciation (in Rs.) computed using ‘double-declining balance method’ and ‘straight line method’ of depreciation in Year-2 is _____________ (in positive integer)"
14,12476874182,A slab panel with an effective depth of 250 mm is reinforced with 0.2% main reinforcement using 8 mm diameter steel bars. The uniform center-to-center spacing (in mm) at which the 8 mm diameter bars are placed in the slab panel is
15,12476874183,"The total primary consolidation settlement (𝑆𝑐) of a building constructed on a 10 m thick saturated clay layer is estimated to be 50 mm. After 300 days of the construction of the building, primary consolidation settlement was reported as 10 mm. The additional time (in days) required to achieve 50% of 𝑆𝑐 will be"
16,12476874184,"An infinite slope is made up of cohesionless soil with seepage parallel to and up to the sloping surface. The angle of slope is 30 with respect to horizontal ground surface. The unit weights of the saturated soil and water are 20 kN/m3 and 10 kN/m3 , respectively. The minimum angle of shearing resistance of the soil (in degrees) for the critically stable condition of the slope is _____________"
17,12476874185,A soil sample was consolidated at a cell pressure of 20 kPa and a back pressure of 10 kPa for 24 hours during a consolidated undrained (CU) triaxial test. The cell pressure was increased to 30 kPa on the next day and it resulted in the development of pore water pressure of 1 kPa. The soil sample failed when the axial stress was gradually increased to 50 kPa. The pore water pressure at failure was recorded as 21 kPa. The value of Skempton’s pore pressure parameter B for the soil sample is ______________
18,12476874186,A spillway has unit discharge of 7.5 m3 /s/m. The flow depth at the downstream horizontal apron is 0.5 m. The tail water depth (in meters) required to form a hydraulic jump is __________ (rounded off to 2 decimal places).
19,12476874187,"Activated carbon is used to remove a pollutant from wastewater in a mixed batch reactor, which follows first-order reaction kinetics. At a reaction rate of 0.38 /day, the time (in days) required to remove the pollutant by 95% is ______________ (rounded off to 1 decimal place)."
20,12476874188,"A water treatment plant treats 25 MLD water with a natural alkalinity of 4.0 mg/L (as CaCO3). It is estimated that, during coagulation of this water, 450 kg/day of calcium bicarbonate (Ca(HCO3)2) is required based on the alum dosage. Consider the atomic weights as: Ca-40, H-1, C-12, O-16. The quantity of pure quick lime, CaO (in kg) required for this process per day is"
21,12476874189,"The number of trains and their corresponding speeds for a curved Broad Gauge section with 437 m radius, are • 20 trains travel at a speed of 40 km/hr • 15 trains travel at a speed of 50 km/hr • 12 trains travel at a speed of 60 km/hr • 8 trains travel at a speed of 70 km/hr • 3 trains travel at a speed of 80 km/hr If the gauge (center-to-center distance between the rail heads) is taken as 1750 mm, the required equilibrium cant (in mm) will be ______________"
22,12476874190,The following data is obtained from an axle load survey at a site: Average rear axle load = 12000 kg Number of commercial vehicles = 800 per day The pavement at this site would be reconstructed over a period of 5 years from the date of survey. The design life of the reconstructed pavement is 15 years. Use the standard axle load as 8160 kg and the annual average vehicle growth rate as 4.0%. Assume that Equivalent Wheel Load Factor (EWLF) and Vehicle Damage Factor (VDF) are equal. The cumulative standard axle (in msa) for the pavement design is ____________ (rounded off to 2 decimal places)
23,12476874191,"A bird is resting on a point P at a height of 8 m above the Mean Sea Level (MSL). Upon hearing a loud noise, the bird flies parallel to the ground surface and reaches a point Q which is located at a height of 3 m above MSL. The ground surface has a falling gradient of 1 in 2. Ignoring the effects of curvature and refraction, the horizontal distance (in meters) between points P and Q is _______________ (in integer)"
29,12476874197,"In the following series, identify the number that needs to be changed to form the Fibonacci series. 1, 1, 2, 3, 6, 8, 13, 21,…"
30,12476874198,"Find the odd one out in the set: {19, 37, 21, 17, 23, 29, 31, 11}"
31,12476874199,"The real variables 𝑥, 𝑦, 𝑧, and the real constants 𝑝, 𝑞, 𝑟 satisfy 𝑥 𝑝𝑞 − 𝑟 2 = 𝑦 𝑞𝑟 − 𝑝 2 = 𝑧 𝑟𝑝 − 𝑞 2 Given that the denominators are non-zero, the value of 𝑝𝑥 + 𝑞𝑦 + 𝑟𝑧 is"
32,12476874200,"Take two long dice (rectangular parallelepiped), each having four rectangular faces labelled as 2, 3, 5, and 7. If thrown, the long dice cannot land on the square faces and has 1/4 probability of landing on any of the four rectangular faces. The label on the top face of the dice is the score of the throw. If thrown together, what is the probability of getting the sum of the two long dice scores greater than 11?"
33,12476874201,"Four equilateral triangles are used to form a regular closed three-dimensional object
by joining along the edges. The angle between any two faces is"
34,12476874202,A distance was measured as 200 m ± 0.1 m. The relative precision of this measurement is
35,12476874203,How many NAVSTAR GPS satellites in standard constellation are operational and provide uninterrupted service?
36,12476874204,The wavelength at which maximum energy is radiated or emitted from the forest fire at temperature of 700 °C is ______ µm (rounded off to one decimal place).
37,12476874205,The standard error of a unit weight for a set of angle observations is 10″. The minimum number of observations required to reduce the standard error of the mean for this set of observations to 2″ is ______ (in integer).
38,12476874206,"An angle is observed independently twice, and the values are as follows:
60°30′10′′ ± 10′′
60°30′20′′ ± 20′′
The most probable value (MPV) of the angle is (give in 6 digits form)"
39,12476874207,"To reduce the slope distance (S) to an equivalent horizontal distance (H) as shown
in the figure given below, the following independent observations were taken.
𝑆 = 29.95 m ± 0.01 m; 𝜃 = 430′ ± 10'
The required precision of computed horizontal distance is ± 0.005 m. Assume a
“balanced accuracy” where the contribution to precision of the horizontal distance
comes equally from the slope distance and angle measurements. The minimum
number of angle observations to achieve the desired precision is
(Given 1 radian = 206265 seconds)"
40,12476874208,"Using the following data, the spatial resolution of a push-broom sensor
is ______ m (in integer).
Data:
Orbital altitude (above earth surface) = 1000 km
Number of spectral bands = 5
Number of detectors/CCDs (charged coupled devices) in a row = 4000
 Ground swath = 20 km"
41,12476874209,"If the plotting accuracy of a map is 0.25 mm and the scale of the same map is 1:100000, what will be the minimum ground distance that can be plotted on the map?"
42,12476874210,"Consider a point A on the surface of Earth, its elevation with respect to EGM2008
(geoid) is 95.5 m. The geoidal undulation at point A is 4.5 m. The orthometric height
of point A is ______ m (rounded off to one decimal place). "
